Worksite ID,Minimum Age,Maximum Age,Zip,Youth Requested,Side of City,Working Outside,Dress Code,With Computers,Career Interests,Skills,Job Choice 1,2nd Language
1,16,17,21217,7,West,No,No,No,"Camp Counselor
STEM
Retail (17+ Year Old Only)",,E,
2,16,18,21206,6,East,No,No,No,Community Service,,B,
3,17,19,21214,3,East,No,No,No,"Pre-School Childcare
Community Service
Culinary Arts/Food Service",,H,
4,14,20,21224,3,East,Yes,No,No,Recreation And Sports,,E,
5,14,21,21214,8,East,No,Yes,Yes,Clerical Office Work,,A,
6,18,21,21216,12,West,No,No,No,"Recreation And Sports
Nursing
Communication/Media
Graphic Design",,B,
7,15,17,21205,5,East,No,No,No,Camp Counselor,,D,
8,16,21,21216,14,West,No,No,No,"Business/Finance
Custodial
Electrical/Carpentry","Microsoft Word, Powerpoint, Excel",C,
9,16,19,21210,4,North,No,Yes,No,"Teacher's Aide
Custodial
Clerical Office Work","Microsoft Word, Powerpoint, Excel",C,
10,18,20,21239,10,East,No,Yes,Yes,"Visual Arts
Pre-School Childcare
Recreation And Sports
Teacher's Aide
Environmental/Green
Culinary Arts/Food Service
Custodial
Architecture",,H,
11,14,19,21201,7,Downtown,No,Yes,No,"Recreation And Sports
Communication/Media
Hospitality/Travel
Graphic Design","Visual Arts (Drawing, painting, etc)",C,
12,14,16,21163,1,Outside City (West),No,Yes,Yes,"Musical Arts
Culinary Arts/Food Service
Custodial
Clerical Office Work
Elderly Services","Microsoft Word, Powerpoint, Excel",B,
13,14,18,21163,1,Outside City (West),No,No,No,"Teacher's Aide
Government/Public Service",,B,
14,16,19,21224,10,East,No,Yes,Yes,"Environmental/Green
Computer Information Tech
STEM
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",A,
15,14,21,21201,3,Downtown,Yes,No,No,"Recreation And Sports
Camp Counselor
Business/Finance
Culinary Arts/Food Service",,G,
16,18,20,21204,5,Outside City (East),No,No,No,Government/Public Service,,E,
17,16,18,21230,4,South,No,No,No,Recreation And Sports,,A,
18,18,20,21228,30,South,No,No,No,"Teacher's Aide
Community Service",,F,
19,14,21,21201,10,Downtown,Yes,No,No,"Visual Arts
Business/Finance
Environmental/Green
Communication/Media",,D,
20,16,19,21163,1,Outside City (West),Yes,No,No,"Pre-School Childcare
Recreation And Sports
Camp Counselor
Custodial
Communication/Media
Port Or Maritime Industry",,H,
21,17,19,21216,7,West,No,No,No,"Business/Finance
Culinary Arts/Food Service",,C,
22,16,20,21217,11,West,No,No,No,"Visual Arts
Government/Public Service",,G,
23,15,17,21201,12,Downtown,No,No,Yes,"Pre-School Childcare
Computer Information Tech
Communication/Media
Graphic Design
Elderly Services","Visual Arts (Drawing, painting, etc)",F,
24,16,17,21201,2,Downtown,No,Yes,Yes,"Recreation And Sports
Teacher's Aide
Business/Finance
Community Service
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",E,
25,16,18,21212,6,East,No,Yes,No,"Environmental/Green
Construction Trades
Clerical Office Work","Office Equipment (i.e. copier, fax machine, scanner, etc.)
Microsoft Word, Powerpoint, Excel",G,
26,14,16,21205,5,East,No,No,No,"Teacher's Aide
Business/Finance
Community Service
Communication/Media
STEM",,C,
27,15,16,21216,8,West,No,No,No,"Culinary Arts/Food Service
Communication/Media",,D,
