POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G
60964774,10,0,0,12,14-15,21213,NORTH,NO,YES,YES,"ELECTRICAL/CARPENTRY,
ELDERLY SERVICES,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
HOSPITALITY/TRAVEL,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES
74049142,0,0,1,19,14-15,21206,NORTH,YES,YES,YES,"GOVERNMENT/PUBLIC SERVICE,","VISUAL ARTS,SWIMMING,CADD",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
29851351,1,0,0,6,14-15,21223,SOUTHEAST,NO,NO,NO,"RECREATION AND SPORTS,
PRE-SCHOOL CHILDCARE,","PLAYS INSTRUMENT,VISUAL ARTS,SWIMMING,OFFICE EQUIPMENT,MICROSOFT,POETRY,DANCING,CADD",MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,NOT APPLICABLE,MOST CLOSELY MATCHES
17528764,3,0,4,5,16-17,21202,EAST,YES,YES,YES,"NURSING,","PLAYS INSTRUMENT,VISUAL ARTS,SWIMMING,CADD",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE
69417424,7,0,1,13,16-21,21215,EAST,YES,NO,NO,"ARCHITECTURE,
AUTO MECHANICS,
BUSINESS/FINANCE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,NOT APPLICABLE
64517413,1,1,1,12,16-21,21223,NORTH,YES,YES,YES,"ARCHITECTURE,
NURSING,
STEM,
VISUAL ARTS,
TEACHER'S AIDE,
PRE-SCHOOL CHILDCARE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
68822501,12,0,1,12,16-21,21231,NORTH,YES,YES,NO,"BUSINESS/FINANCE,
CONSTRUCTION/MANUFACTURING,
ENVIRONMENTAL/GREEN,",PLAYS INSTRUMENT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
97525204,3,0,,12,16-21,21201,DOWNTOWN,NO,NO,NO,"CLERICAL OFFICE WORK,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
75844397,1,1,1,16,16-21,21226,EAST,YES,NO,YES,"COMMUNICATION/MEDIA,
CAMP COUNSELOR,","PLAYS INSTRUMENT,VISUAL ARTS",NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES,MOST CLOSELY MATCHES
59049119,5,2,0,12,16-21,21218,SOUTHEAST,NO,YES,NO,"COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
CAMP COUNSELOR,",OFFICE EQUIPMENT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
