POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
1,7,2,3,16,16-17,21217,WEST,NO,NO,NO,"CAMP COUNSELOR,
STEM,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
2,6,2,3,16,16-17,21206,EAST,NO,NO,NO,"COMMUNITY SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
3,3,0,1,17,16-21,21214,EAST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
4,3,1,1,14,14-21,21224,EAST,YES,NO,NO,"RECREATION AND SPORTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
5,8,1,4,14,14-21,21214,EAST,NO,YES,YES,"CLERICAL OFFICE WORK,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
6,12,0,10,18,18-21,21216,WEST,NO,NO,NO,"RECREATION AND SPORTS,
NURSING,
COMMUNICATION/MEDIA,
GRAPHIC DESIGN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
7,5,3,3,15,16-17,21205,EAST,NO,NO,NO,"CAMP COUNSELOR,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
8,14,3,6,16,16-21,21216,WEST,NO,NO,NO,"BUSINESS/FINANCE,
CUSTODIAL,
ELECTRICAL/CARPENTRY,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
9,4,0,3,16,16-21,21210,NORTH,NO,YES,NO,"TEACHER'S AIDE,
CUSTODIAL,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
10,10,0,0,18,18-21,21239,EAST,NO,YES,YES,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
TEACHER'S AIDE,
ENVIRONMENTAL/GREEN,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
ARCHITECTURE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
11,7,1,4,14,14-21,21201,DOWNTOWN,NO,YES,NO,"RECREATION AND SPORTS,
COMMUNICATION/MEDIA,
HOSPITALITY/TRAVEL,
GRAPHIC DESIGN,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
12,1,0,0,14,14-15,21163,WEST,NO,YES,YES,"MUSICAL ARTS,
CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,
ELDERLY SERVICES,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
13,1,0,0,14,14-21,21163,WEST,NO,NO,NO,"TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
14,10,0,5,16,16-21,21224,EAST,NO,YES,YES,"ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
STEM,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
15,3,1,2,14,14-21,21201,DOWNTOWN,YES,NO,NO,"RECREATION AND SPORTS,
CAMP COUNSELOR,
BUSINESS/FINANCE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
16,5,0,4,18,18-21,21204,EAST,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
17,4,1,3,16,16-17,21230,SOUTH,NO,NO,NO,"RECREATION AND SPORTS,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
18,30,18,21,18,18-21,21228,SOUTH,NO,NO,NO,"TEACHER'S AIDE,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
19,10,4,2,14,14-21,21201,DOWNTOWN,YES,NO,NO,"VISUAL ARTS,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
20,1,0,1,16,16-21,21163,WEST,YES,NO,NO,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
CAMP COUNSELOR,
CUSTODIAL,
COMMUNICATION/MEDIA,
PORT OR MARITIME INDUSTRY,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
21,7,5,4,17,16-21,21216,WEST,NO,NO,NO,"BUSINESS/FINANCE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
22,11,1,2,16,16-21,21217,WEST,NO,NO,NO,"VISUAL ARTS,
GOVERNMENT/PUBLIC SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
23,12,1,7,15,16-17,21201,DOWNTOWN,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,
GRAPHIC DESIGN,
ELDERLY SERVICES,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
24,2,0,1,16,16-17,21201,DOWNTOWN,NO,YES,YES,"RECREATION AND SPORTS,
TEACHER'S AIDE,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
