CODE #,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,Priority
240353965,14,21215,NO,WEST,YES,NO,NO,PRE-SCHOOL CHILDCARE,ENVIRONMENTAL/GREEN,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
273032336,14,21216,NO,WEST,YES,YES,YES,VISUAL ARTS,CAMP COUNSELOR,";VISUAL ARTS; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
146382615,18,21215,NO,WEST,NO,YES,NO,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,;DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
368325222,16,21237,NO,EAST,NO,NO,YES,ELDERLY SERVICES,PRE-SCHOOL CHILDCARE,;DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
113510680,16,21211,NO,WEST,NO,YES,NO,CONSTRUCTION/MANUFACTURING,RECREATION AND SPORTS,;VISUAL ARTS,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
592649585,16,21216,NO,WEST,YES,YES,NO,CUSTODIAL,STEM,,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
544630945,18,21223,NO,WEST,NO,YES,YES,COMMUNICATION/MEDIA,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,1
326617731,15,21237,NO,EAST,YES,YES,YES,MUSICAL ARTS,RECREATION AND SPORTS,;SWIMMING; CADD,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
389663572,17,21222,NO,EAST,YES,NO,NO,CAMP COUNSELOR,LEGAL,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,3
329515586,16,21205,NO,EAST,NO,NO,YES,COMPUTER INFORMATION TECH,VISUAL ARTS,;CADD; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,2
260291617,17,21217,NO,WEST,NO,YES,YES,GRAPHIC DESIGN,CULINARY ARTS/FOOD SERVICE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,3
482631775,18,21228,NO,SOUTH,NO,NO,YES,AUTO MECHANICS,RECREATION AND SPORTS,";VISUAL ARTS; SWIMMING; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
308700354,14,21214,NO,EAST,NO,YES,YES,ELDERLY SERVICES,GRAPHIC DESIGN,;PLAYS INSTRUMENT; SWIMMING; OFFICE EQUIPEMENT,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
326484231,17,21237,NO,EAST,YES,NO,NO,NURSING,CONSTRUCTION/MANUFACTURING,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,3
403745830,16,21224,NO,EAST,NO,YES,YES,STEM,STEM,;PLAYS INSTRUMENT; OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,1
361456849,18,21215,NO,WEST,YES,YES,YES,STEM,VISUAL ARTS,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,3
431251102,20,21217,NO,WEST,NO,YES,NO,RECREATION AND SPORTS,STEM,,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
520415088,18,21237,NO,EAST,YES,YES,NO,STEM,HOSPITALITY/TRAVEL,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
238822157,18,21128,NO,EAST,YES,NO,NO,CUSTODIAL,ENVIRONMENTAL/GREEN,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
126793395,15,21222,NO,EAST,YES,NO,NO,NURSING,HOSPITALITY/TRAVEL,,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,2
577331853,17,21201,NO,DOWNTOWN,NO,NO,YES,NURSING,STEM,;POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,3
284614234,15,21228,NO,SOUTH,YES,NO,NO,ELECTRICAL/CARPENTRY,GRAPHIC DESIGN,;PLAYS INSTRUMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,1
268241282,17,21237,NO,EAST,YES,NO,YES,RETAIL (16+ YEAR OLD ONLY),RECREATION AND SPORTS,,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,1
421509099,19,21212,NO,EAST,YES,YES,NO,CONSTRUCTION/MANUFACTURING,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,1
376181409,16,21205,NO,EAST,YES,YES,YES,NURSING,STEM,";(MICROSOFT WORD,POWERPOINT,EXCEL); DANCING",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,2
459476447,15,21237,NO,EAST,NO,YES,YES,VISUAL ARTS,PRE-SCHOOL CHILDCARE,;VISUAL ARTS,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,2
171807348,14,21216,NO,WEST,YES,NO,YES,COMPUTER INFORMATION TECH,TEACHER'S AIDE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,3
255784864,17,21214,NO,EAST,NO,YES,YES,ENVIRONMENTAL/GREEN,PRE-SCHOOL CHILDCARE,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,1
301279657,18,21223,NO,WEST,YES,YES,YES,ELECTRICAL/CARPENTRY,PRE-SCHOOL CHILDCARE,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,1
260222036,15,21237,NO,EAST,NO,YES,YES,TEACHER'S AIDE,RECREATION AND SPORTS,";SWIMMING; (MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,2
