Youth ID,Age,Zip,Willing to Travel Outside Zip Code,Side of City,Working Outside,Dress Code,With Computers,Career Interest 1,Career Interest 2,Skills,Job Choice A,Job Choice B,Job Choice C,Job Choice D,Job Choice E,Job Choice F,Job Choice G,Job Choice H,2nd Language
1,14,21215,No,West,Yes,No,No,Pre-School Childcare,Environmental/Green,"Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,
2,14,21216,No,West,Yes,Yes,Yes,Visual Arts,Camp Counselor,"Visual Arts (Drawing, painting, etc), Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,INTERESTED,
3,18,21215,No,West,No,Yes,No,Pre-School Childcare,Pre-School Childcare,Dancing,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
4,16,21237,No,East,No,No,Yes,Elderly Services,Pre-School Childcare,Dancing,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
5,16,21211,No,West,No,Yes,No,Construction Trades,Recreation And Sports,"Visual Arts (Drawing, painting, etc)",INTERESTED,INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
6,16,21216,No,West,Yes,Yes,No,Custodial,Engineering,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
7,18,21223,No,West,No,Yes,Yes,Communication/Media,Pre-School Childcare,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
8,15,21237,No,East,Yes,Yes,Yes,Musical Arts,Recreation And Sports,"Swimming, CADD (Computer Aided Drafting and Design)",NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
9,17,21222,No,Outside City (East),Yes,No,No,Camp Counselor,Legal,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,
10,16,21205,No,East,No,No,Yes,Computer Information Tech,Visual Arts,"CADD (Computer Aided Drafting and Design), Spoken Word or Poetry",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
11,17,21217,No,West,No,Yes,Yes,Graphic Design,Culinary Arts/Food Service,,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
12,18,21228,No,South,No,No,Yes,Auto Mechanics,Recreation And Sports,"Visual Arts (Drawing, painting, etc), Swimming, Microsoft Word, Powerpoint, Excel",NOT INTERESTED,NOT INTERESTED,INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
13,14,21214,No,East,No,Yes,Yes,Elderly Services,Graphic Design,"Plays an Intrustment, Swimming, Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
14,17,21237,No,East,Yes,No,No,Nursing,Construction Trades,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
15,16,21224,No,East,No,Yes,Yes,Engineering,Engineering,"Plays an Intrustment, Office Equipment (i.e. copier, fax machine, scanner, etc.)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,INTERESTED,NOT INTERESTED,
