CODE #,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G
145107993,21,21213,YES,"EAST, DOWNTOWN",YES,NO,NO,MUSICAL ARTS,CAMP COUNSELOR,;OFFICE EQUIPMENT;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
161534963,15,21206,YES,"EAST, DOWNTOWN",YES,NO,YES,ARCHITECTURE,BUSINESS/FINANCE,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED
167906053,17,21223,YES,"SOUTH, DOWNTOWN",NO,YES,YES,GOVERNMENT/PUBLIC SERVICE,RECREATION AND SPORTS,";VISUAL ARTS;SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED
233351181,17,21202,NO,DOWNTOWN,NO,NO,NO,PRE-SCHOOL CHILDCARE,AUTO MECHANICS,;PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
255441317,14,21215,YES,"EAST, SOUTHEAST, WEST, DOWNTOWN, NORTH, SOUTH",NO,YES,YES,BUSINESS/FINANCE,CONSTRUCTION/MANUFACTURING,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION
269872128,18,21223,YES,SOUTH,YES,YES,YES,CAMP COUNSELOR,RECREATION AND SPORTS,;POETRY;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
276014692,18,21231,YES,"SOUTHEAST, DOWNTOWN, SOUTH, EAST, NORTH, WEST",YES,YES,YES,CONSTRUCTION/MANUFACTURING,RECREATION AND SPORTS,";PLAYS INSTRUMENT;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
296393580,14,21201,YES,"WEST, DOWNTOWN",YES,NO,NO,TEACHER'S AIDE,ARCHITECTURE,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED 
367314704,17,21226,YES,"SOUTH, EAST, WEST, DOWNTOWN",YES,YES,YES,PRE-SCHOOL CHILDCARE,RECREATION AND SPORTS,";(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITH ACCOMMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
430646290,18,21218,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST",YES,YES,YES,TEACHER'S AIDE,PRE-SCHOOL CHILDCARE,";PLAYS INSTRUMENT;SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
437515338,16,21225,YES,"SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,COMMUNICATION/MEDIA,RECREATION AND SPORTS,";VISUAL ARTS;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION
482259483,15,21215,YES,"EAST, SOUTHEAST, NORTH",YES,YES,NO,BUSINESS/FINANCE,CONSTRUCTION/MANUFACTURING,;PLAYS INSTRUMENT;SWIMMING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
532302423,17,21206,YES,"EAST, DOWNTOWN",YES,NO,NO,GOVERNMENT/PUBLIC SERVICE,BUSINESS/FINANCE,";PLAYS INSTRUMENT;SWIMMING;CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION
565468809,17,21213,YES,"EAST, DOWNTOWN",YES,NO,NO,CAMP COUNSELOR,CAMP COUNSELOR,";PLAYS INSTRUMENT;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED 
581938512,17,21211,YES,"EAST, DOWNTOWN",YES,NO,YES,AUTO MECHANICS,CAMP COUNSELOR,";SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
587943458,18,21231,YES,"WEST, DOWNTOWN",YES,YES,YES,GRAPHIC DESIGN,RECREATION AND SPORTS,,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
590338099,17,21216,YES,"NORTH, EAST, DOWNTOWN",NO,YES,YES,GOVERNMENT/PUBLIC SERVICE,LEGAL,;SWIMMING;DANCING,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED 
613525520,14,21218,YES,"NORTH, SOUTH, DOWNTOWN",YES,YES,YES,ARCHITECTURE,PRE-SCHOOL CHILDCARE,,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED 
646148443,15,21213,YES,"EAST, NORTH, SOUTHEAST, DOWNTOWN, SOUTH, WEST",YES,YES,NO,RECREATION AND SPORTS,COMPUTER INFORMATION TECH,";CADD;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION
736131623,17,21217,YES,"NORTH, EAST, WEST, DOWNTOWN",YES,YES,YES,COMMUNICATION/MEDIA,MUSICAL ARTS,";PLAYS INSTRUMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED 
752037765,15,21218,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",NO,YES,YES,AUTO MECHANICS,PRE-SCHOOL CHILDCARE,;PLAYS INSTRUMENT;SWIMMING;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED 
759817333,16,21216,YES,"NORTH, EAST, DOWNTOWN",YES,YES,YES,CONSTRUCTION/MANUFACTURING,MUSICAL ARTS,";PLAYS INSTRUMENT;VISUAL ARTS;SWIMMING;(MICROSOFT WORD,POWERPOINT,EXCEL);POETRY",NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION
791617753,17,21205,YES,"DOWNTOWN, SOUTH, WEST",NO,NO,YES,ELECTRICAL/CARPENTRY,AUTO MECHANICS,";(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
848673299,14,21216,YES,"NORTH, DOWNTOWN",NO,YES,YES,ELDERLY SERVICES,GRAPHIC DESIGN,";VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION
892238816,14,21205,YES,EAST,YES,NO,NO,RECREATION AND SPORTS,AUTO MECHANICS,";OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED 
892962887,18,21215,YES,"EAST, WEST, DOWNTOWN",NO,YES,YES,ELDERLY SERVICES,CULINARY ARTS/FOOD SERVICE,";VISUAL ARTS;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL)",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION
905199946,15,21218,YES,"NORTH, SOUTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,BUSINESS/FINANCE,RECREATION AND SPORTS,";VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION
