CODE #,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,
240353965,14,21215,NO,WEST,YES,NO,NO,PRE-SCHOOL CHILDCARE,ENVIRONMENTAL/GREEN,;OFFICE EQUIPEMENT,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
273032336,14,21216,NO,WEST,YES,YES,YES,VISUAL ARTS,CAMP COUNSELOR,";VISUAL ARTS; (MICROSOFT WORD,POWERPOINT,EXCEL)",NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
146382615,18,21215,NO,WEST,NO,YES,NO,PRE-SCHOOL CHILDCARE,PRE-SCHOOL CHILDCARE,;DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
368325222,16,21237,NO,EAST,NO,NO,YES,ELDERLY SERVICES,PRE-SCHOOL CHILDCARE,;DANCING,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
113510680,16,21211,NO,WEST,NO,YES,NO,CONSTRUCTION/MANUFACTURING,RECREATION AND SPORTS,;VISUAL ARTS,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
592649585,16,21216,NO,WEST,YES,YES,NO,CUSTODIAL,STEM,,NOT INTERESTED,NOT INTERESTED,WORK WITH ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
544630945,18,21223,NO,WEST,NO,YES,YES,COMMUNICATION/MEDIA,PRE-SCHOOL CHILDCARE,,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
326617731,15,21237,NO,EAST,YES,YES,YES,MUSICAL ARTS,RECREATION AND SPORTS,;SWIMMING; CADD,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,
389663572,17,21222,NO,EAST,YES,NO,NO,CAMP COUNSELOR,LEGAL,,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,NOT INTERESTED,
329515586,16,21205,NO,EAST,NO,NO,YES,COMPUTER INFORMATION TECH,VISUAL ARTS,;CADD; POETRY,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,NOT INTERESTED,WORK WITHOUT ACCOMODATION,
