REGISTRATION ID,AGE AT REGISTRAION,ZIP CODE,TRAVEL TO ANOTHER ZIPCODE,QUADRANTS WILLING TO TRAVEL TO,INTERESTED IN WORKING OUTSIDE,INTERESTED IN WORKING WITH DRESS CODE,INTERESTED IN WORKING WITH COMPUTERS,CAREER INTEREST CATEGORY 1,CAREER INTEREST CATEGORY 2,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,SECOND LANGUAGE,SECOND LANGUAGE PROFICIENCY,SCHOOL NUMBER,SCHOOL STATUS,HIGHEST GRADE COMPLETED,PRIORITY MATCHING STATUS,
84111,18,21215,YES,"EAST, WEST, DOWNTOWN",NO,YES,YES,CAMP COUNSELOR,NURSING,SWIMMING;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,450,IN SCHOOL - POST HS,GRADE 11,PREFERRED,
84113,14,21206,YES,"EAST, DOWNTOWN",YES,YES,YES,CAMP COUNSELOR,PRE-SCHOOL CHILDCARE,VISUAL ARTS;SWIMMING;OFFICE EQUIPMENT,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,,,337,IN SCHOOL - HS OR LESS,GRADE 8,PREFERRED,
84114,16,21223,YES,"WEST, DOWNTOWN",NO,NO,NO,TEACHER'S AIDE,CLERICAL OFFICE WORK,OFFICE EQUIPMENT;DANCING,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,348,IN SCHOOL - HS OR LESS,GRADE 10,MANDATORY,
84115,16,21223,YES,"WEST, DOWNTOWN",NO,YES,NO,PRE-SCHOOL CHILDCARE,MUSICAL ARTS,DANCING,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,400,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
84116,18,21213,YES,"NORTH, EAST",NO,NO,NO,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),RECREATION AND SPORTS,,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,,,410,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
84118,17,21215,YES,"EAST, WEST, DOWNTOWN",NO,YES,NO,RECREATION AND SPORTS,RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),VISUAL ARTS;DANCING,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,421,IN SCHOOL - HS OR LESS,GRADE 11,NONE,
84120,16,21223,YES,"WEST, DOWNTOWN",NO,YES,YES,BUSINESS/FINANCE,NURSING,"PLAYS INSTRUMENT;SWIMMING;OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",NOT INTERESTED ,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,377,IN SCHOOL - HS OR LESS,GRADE 10,NONE,
84121,18,21216,YES,"EAST, WEST, DOWNTOWN",YES,YES,NO,PRE-SCHOOL CHILDCARE,NURSING,"(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,,,400,IN SCHOOL - POST HS,GRADE 12,MANDATORY,
84122,21,21216,YES,"NORTH, EAST, SOUTHEAST, WEST, DOWNTOWN",YES,YES,YES,ELDERLY SERVICES,COMMUNITY SERVICE,VISUAL ARTS;SWIMMING;CADD;POETRY;DANCING,NOT INTERESTED ,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,WORK WITHOUT ACCOMODATION,NOT INTERESTED ,NOT INTERESTED ,,,433,IN SCHOOL - HS OR LESS,GRADE 12,NONE,
84123,14,21206,YES,"EAST, DOWNTOWN",YES,YES,YES,PRE-SCHOOL CHILDCARE,GOVERNMENT/PUBLIC SERVICE,"OFFICE EQUIPMENT;(MICROSOFT WORD,POWERPOINT,EXCEL);DANCING",WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,NOT INTERESTED ,NOT INTERESTED ,NOT INTERESTED ,WORK WITH ACCOMMODATION,WORK WITH ACCOMMODATION,,,235,IN SCHOOL - HS OR LESS,GRADE 8,NONE,
