ID,POSITION NAME,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,MAXIMUM AGE REQUIRED,YW STAFF MATCH NUMBER,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,SECOND LANGUAGE,SECOND LANGUAGE PROFICIENCY,SCHOOL REQUEST,GRADE REQUEST
11541,BCLC CREW MEMBER,30,0,30,14,18,0,21213,EAST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,"413 ACHIEVEMENT ACADEMY AT HARBOR CITY HIGH SCHOOL 
427 ACADEMY FOR COLLEGE AND CAREER EXPLORATION HIGH 
","GRADE 7,
"
11554,MEDIA PRODUCER,10,0,10,14,19,0,21202,EAST,NO,YES,YES,"COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
VISUAL ARTS,
GRAPHIC DESIGN,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,"76 FRANCIS SCOTT KEY ELEMENTARY/MIDDLE SCHOOL 
","GRADE 7,
"
11555,CREW MEMBER,30,0,30,14,18,0,21213,EAST,YES,NO,NO,"CULINARY ARTS/FOOD SERVICE,
ENVIRONMENTAL/GREEN,
",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11585,CUSTODIAL AID,3,0,0,16,21,3,21215,NORTH,YES,YES,NO,,SWIMMING,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11578,BARISTA- MORNING,7,0,7,16,21,0,21213,EAST,NO,YES,NO,"CULINARY ARTS/FOOD SERVICE,
RETAIL (16+ YEARS OLD ONLY BY JUNE 23RD),
COMMUNITY SERVICE,
",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11592,PROGRAM DESIGNER ,10,0,10,14,18,0,21210,NORTH,NO,YES,YES,"GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
","OFFICE EQUIPMENT,MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,450 EDUCATION SCHOOL FOR EXCELLENCE,NO PREFERENCE
11628,ENVIRONMENTAL STEWARD,3,0,2,16,21,1,21211,NORTH,NO,NO,NO,,,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11636,SUMMER LEARNING ASSISTANT,5,0,5,14,21,0,21222,EAST,NO,YES,NO,"RECREATION AND SPORTS,
STEM,
MUSICAL ARTS,
TEACHER'S AIDE,
PRE-SCHOOL CHILDCARE,
","MICROSOFT,POETRY",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
11586,YOUTH OFFICE ASSISTANT,25,0,25,14,21,0,21201,DOWNTOWN,NO,YES,YES,"GOVERNMENT/PUBLIC SERVICE,
CLERICAL OFFICE WORK,
","OFFICE EQUIPMENT,MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,NO PREFERENCE,NO PREFERENCE
11640,YOUTH OFFICE ASSISTANT,6,5,6,14,21,3,21218,EAST,NO,YES,YES,,"OFFICE EQUIPMENT,MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,SPANISH,1.BEGINNER (1 TO 3 YEARS OF LANGUAGE EDUCATION),NO PREFERENCE,NO PREFERENCE
